þÿTipo esercizio storico pe;Insegna;Ubicazione;Tipo via;Descrizione via;Civico;Codice via;ZD;Forma commercio;Forma commercio prev;Forma vendita;Settore storico pe;Superficie somministrazione
ristorante;citta  d oriente;"VIA LORENTEGGIO N. 157 ; isolato:139; accesso: accesso esterno; (z.d. 6)";VIA;LORENTEGGIO;157;5132;6;solo somministrazione;somministrazione;al tavolo;"Genere Merceol.Autorizz.Sanit.;Tavola calda;BAR CAFFÿý;Ristorante;Pizzerie e simili;Pizzeria;Ristorante, trattoria, osteria";107
ristorante;c/o grand hotel brun;"VIA CALDERA N. 21 c/o grand hotel brun; isolato:029; accesso: accesso esterno; (z.d. 7)";VIA;CALDERA;21;6302;7;solo somministrazione;somministrazione;misto;"Ristorante;Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.";688
ristorante;conte ugolino;"PZA BECCARIA CESARE N. 6 ;pza beccaria cesare 006; isolato:387; accesso: accesso esterno; (z.d. 1)";PZA;BECCARIA CESARE;6;306;1;;somministrazione;al tavolo;"Ristorante;Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria";135
ristorante;copacabana srl.;"VIA TARTINI GIUSEPPE N. 13 ; isolato:057; accesso: accesso esterno; (z.d. 9)";VIA;TARTINI GIUSEPPE;13;1501;9;solo somministrazione;somministrazione;al tavolo;"Genere Merceol.Autorizz.Sanit.;Ristorante;Ristorante, trattoria, osteria";56
ristorante;corte fiorita;"CSO VITTORIO EMANUELE II N. 24 ;lgo corsia dei servi 000; isolato:360; accesso: accesso esterno; (z.d. 1)";CSO;VITTORIO EMANUELE II;24;214;1;solo somministrazione;somministrazione;al tavolo;"Ristorante;Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.;Pizzerie e simili;Pizzeria";158
ristorante;cougar s pub;"VIA SCALVINI GIOVITA N. 10 ; isolato:076; accesso: accesso esterno; (z.d. 9)";VIA;SCALVINI GIOVITA;10;1265;9;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;Tav.calde,self service,fast f.;Ristorante;BAR CAFFÿý";70
ristorante;craclo peck ristorante;"VIA HUGO VICTOR N. 4 ;via hugo victor 004; isolato:437; accesso: accesso esterno; (z.d. 1)";VIA;HUGO VICTOR;4;548;1;solo somministrazione;somministrazione;al tavolo;"Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.;Ristorante";135
ristorante;crazy bull cafe;"PTA PATTARI N. 2 ;pta pattari 002; isolato:387; accesso: accesso esterno; (z.d. 1)";PTA;PATTARI;2;299;1;solo somministrazione;somministrazione;self service;"Genere Merceol.Autorizz.Sanit.;Pizzerie e simili;Ristorante;BAR CAFFÿý E SIMILI;Ristorante, trattoria, osteria;Seconda bottiglia;BAR CAFFÿý;Pizzeria";610
ristorante;ctihpponeje cinese;"VIA TRIVULZIO ANTONIO TOLOMEO N. 2 con ingr. da via parmigianino; isolato:208; accesso: accesso esterno; (z.d. 7)";VIA;TRIVULZIO ANTONIO TOLOMEO;2;6277;7;solo somministrazione;somministrazione;al tavolo;"Genere Merceol.Autorizz.Sanit.;Tavola calda;BAR CAFFÿý";45
ristorante;da hakim;"VIA VALLAZZE N. 74 ; isolato:049; accesso: accesso esterno; (z.d. 3)";VIA;VALLAZZE;74;2250;3;solo somministrazione;somministrazione;al tavolo;"Trattoria;Genere Merceol.Autorizz.Sanit.;Pizzeria;Ristorante, trattoria, osteria;Pizzerie e simili";60
ristorante;da ilia;"VLE VITTORIO VENETO N. 8 con ingresso da via lecco; isolato:136; accesso: accesso esterno; (z.d. 3)";VLE;VITTORIO VENETO;8;2107;3;solo somministrazione;somministrazione;al tavolo;"Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria;BAR CAFFÿý;BAR CAFFÿý E SIMILI;Ristorante";158
ristorante;da rosi e gabriele;"VIA SIRTORI GIUSEPPE N. 26 ; isolato:145; accesso: accesso esterno; (z.d. 3)";VIA;SIRTORI GIUSEPPE;26;2180;3;solo somministrazione;somministrazione;al tavolo;"Ristorante, trattoria, osteria;Pizzerie e simili;Ristorante;Pizzeria;Genere Merceol.Autorizz.Sanit.";160
ristorante;da willy;"VIA FARINI CARLO num.078/80 /80; accesso: accesso esterno; (z.d. 9)";VIA;FARINI CARLO;71;1114;9;solo somministrazione;somministrazione;al tavolo;"Pizzerie e simili;Ristorante, trattoria, osteria";146
ristorante;da willy;"VIA GALLURA N. 11 ; isolato:101; accesso: accesso esterno; (z.d. 5)";VIA;GALLURA;11;4256;5;solo somministrazione;somministrazione;al tavolo;"Pizzeria;Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.;Pizzerie e simili";169
ristorante;da willy;"VIA VIGEVANO num.007/9 /9; isolato:057; accesso: accesso esterno; (z.d. 6)";VIA;VIGEVANO;;5116;6;solo somministrazione;somministrazione;al tavolo;"Pizzeria;Ristorante;Genere Merceol.Autorizz.Sanit.";88
ristorante;de angeli;"VIA SACCO LUIGI N. 9 ; isolato:213; accesso: accesso esterno; (z.d. 7)";VIA;SACCO LUIGI;9;6275;7;solo somministrazione;somministrazione;al tavolo;"Pizzerie e simili;Pizzeria;Genere Merceol.Autorizz.Sanit.;Ristorante;Ristorante, trattoria, osteria";71
ristorante;dixieland caffe;"PLE AQUILEIA N. 12 ; isolato:273; accesso: accesso esterno; (z.d. 7)";PLE;AQUILEIA;12;6205;7;solo somministrazione;somministrazione;misto;"Ristorante;Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria;Pizzeria;BAR CAFFÿý";139
ristorante;dong;"VIA SARPI FRA' PAOLO N. 3 ; isolato:120; accesso: accesso esterno; (z.d. 1)";VIA;SARPI FRA' PAOLO;3;7210;1;solo somministrazione;somministrazione;al tavolo;"Ristorante, trattoria, osteria;Ristorante;Genere Merceol.Autorizz.Sanit.;Pizzeria";220
ristorante;don juan restaur.argentin;"VIA ALTAGUARDIA N. 2 ; isolato:171; accesso: accesso esterno; (z.d. 5)";VIA;ALTAGUARDIA;2;4058;5;solo somministrazione;somministrazione;al tavolo;"Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria;Ristorante";140
ristorante;due chef special.pesce;"VLE MONZA num.090/92 /92; isolato:295; accesso: accesso esterno; (z.d. 2)";VLE;MONZA;61;2274;2;solo somministrazione;somministrazione;al tavolo;"Ristorante;Pizzeria;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý";130
ristorante;ekatana positive food;"VIA PIETRASANTA N. 14 con ingr. da via pompeo leoni; isolato:050; accesso: accesso esterno; (z.d. 5)";VIA;PIETRASANTA;14;4227;5;solo somministrazione;somministrazione;misto;"Ristorante;BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.";174
ristorante;el brellin;"ALZ NAVIGLIO GRANDE N. 14 ; isolato:057; accesso: accesso esterno; (z.d. 6)";ALZ;NAVIGLIO GRANDE;14;5144;6;solo somministrazione;somministrazione;al tavolo;"Genere Merceol.Autorizz.Sanit.;Ristorante;BAR CAFFÿý E SIMILI;Cucina tipica lombarda;Ristorante, trattoria, osteria;Ristorante, trattoria, osteria;BAR CAFFÿý";255
ristorante;el crespin;"VIA CASTELVETRO LODOVICO num.016/18 ; isolato:048; accesso: accesso esterno; (z.d. 8)";VIA;CASTELVETRO LODOVICO;;7195;8;solo somministrazione;somministrazione;al tavolo;"Trattoria;Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.";100
ristorante;el idolo;"VIA LORENTEGGIO N. 210 ; isolato:090; accesso: accesso esterno; (z.d. 6)";VIA;LORENTEGGIO;210;5132;6;solo somministrazione;somministrazione;al tavolo;"Ristorante, trattoria, osteria;Ristorante;Genere Merceol.Autorizz.Sanit.";113
ristorante;enterprise hotel srl.;"CSO SEMPIONE num.091/93 /93; accesso: accesso esterno; (z.d. 1)";VIA;TERRAGGIO;20;644;1;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;Ristorante;Tavola fredda";365
ristorante;exedra;"PLE CADORNA LUIGI N. 2 ;ple cadorna luigi 002; isolato:238; accesso: accesso esterno; (z.d. 1)";PLE;CADORNA LUIGI;2;601;1;solo somministrazione;somministrazione;al tavolo;"Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria;BAR CAFFÿý;Ristorante;BAR CAFFÿý E SIMILI";124
ristorante;exploit;"VIA PIOPPETTE N. 3 ;via pioppette 003; isolato:214; accesso: accesso esterno; (z.d. 1)";VIA;PIOPPETTE;3;536;1;solo somministrazione;somministrazione;misto;"Ristorante;BAR CAFFÿý;Ristorante, trattoria, osteria;Wine,birr.,pub enot.,caff.,the;Genere Merceol.Autorizz.Sanit.";110
ristorante;fame da lupi;"VIA CANONICA LUIGI N. 45 ; isolato:112; accesso: accesso esterno; (z.d. 1)";VIA;CANONICA LUIGI;45;7121;1;solo somministrazione;somministrazione;al tavolo;"BAR CAFFÿý E SIMILI;Ristorante, trattoria, osteria;Cucina tipica lombarda;Tav.calde,self service,fast f.;Pizzerie e simili;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;Ristorante";82
ristorante;farina e pomodoro;"VIA TURATI FILIPPO N. 7 ; isolato:092; accesso: accesso esterno; (z.d. 1)";VIA;TURATI FILIPPO;7;1053;1;solo somministrazione;somministrazione;self service;"Ristorante;Genere Merceol.Autorizz.Sanit.";97
ristorante;fiume giallo;"VLE MONZA N. 44 ; isolato:332; accesso: accesso esterno; (z.d. 2)";VLE;MONZA;44;2274;2;solo somministrazione;somministrazione;misto;"BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.;Ristorante;Ristorante, trattoria, osteria";36
ristorante;f.lli la bufala;"VLE SABOTINO N. 1 ; isolato:092; accesso: accesso esterno; (z.d. 5)";VLE;SABOTINO;1;4046;5;solo somministrazione;somministrazione;al tavolo;"Genere Merceol.Autorizz.Sanit.;Ristorante;Pizzerie e simili;Pizzeria;Ristorante, trattoria, osteria";260
ristorante;fonda maya mexican grill;"CSO GENOVA N. 25 ; accesso: accesso esterno; (z.d. 1)";CSO;GENOVA;25;5164;1;solo somministrazione;somministrazione;al tavolo;"Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.;Ristorante";72
ristorante;for you restaurant bar;"VIA GALILEI GALILEO N. 2 c/o hotel windsor; isolato:335; accesso: accesso esterno; (z.d. 2)";VIA;GALILEI GALILEO;2;1102;2;solo somministrazione;somministrazione;al tavolo;"Genere Merceol.Autorizz.Sanit.;Ristorante;BAR CAFFÿý";107
ristorante;frantoi celletti;"VIA ZUCCOLI LUCIANO N. 8 ; isolato:141; accesso: accesso esterno; (z.d. 2)";VIA;ZUCCOLI LUCIANO;8;1254;2;solo somministrazione;somministrazione;al banco;"Pizzerie e simili;Ristorante;Pizzeria;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;BAR CAFFÿý E SIMILI;Ristorante, trattoria, osteria";437
ristorante;full self service;"VIA FARA GUSTAVO N. 28 ; isolato:290; accesso: accesso esterno; (z.d. 2)";VIA;FARA GUSTAVO;28;1183;2;solo somministrazione;somministrazione;al tavolo;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý E SIMILI;Ristorante;Tav.calde,self service,fast f.";148
ristorante;full stop;"VIA ALCUINO N. 1 ; isolato:348; accesso: accesso esterno; (z.d. 8)";VIA;ALCUINO;1;7165;8;solo somministrazione;somministrazione;misto;"BAR CAFFÿý;BAR CAFFÿý E SIMILI;Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria;Ristorante";94
ristorante;garbagnati;"VIA GIULINI GIORGIO N. 2 con ingr. via dante n. 13;via dante alighieri 014; isolato:370; accesso: accesso esterno; (z.d. 1)";VIA;GIULINI GIORGIO;2;613;1;somministrazione/minuto;somministrazione;misto;"BAR CAFFÿý;Pizzeria;Bar gastronomici e simili;Tav.calde,self service,fast f.;Genere Merceol.Autorizz.Sanit.;Bar pasticc.gelat.crem.creper.;Gelateria";180
ristorante;gardenia;"PZA SCOLARI ROSA N. 3 ; isolato:040; accesso: accesso esterno; (z.d. 8)";PZA;SCOLARI ROSA;3;6579;8;solo somministrazione;somministrazione;misto;"Ristorante;Pizzeria;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý";106
ristorante;gaucho;"VIA D'ADDA CARLO N. 11 ; isolato:060; accesso: accesso esterno; (z.d. 6)";VIA;D'ADDA CARLO;11;5272;6;solo somministrazione;somministrazione;al tavolo;"Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria;Ristorante";120
ristorante;gaya;"VIA SCARLATTI DOMENICO N. 3 ; isolato:044; accesso: accesso esterno; (z.d. 3)";VIA;SCARLATTI DOMENICO;3;2136;3;solo somministrazione;somministrazione;al tavolo;"Ristorante, trattoria, osteria;Ristorante;Genere Merceol.Autorizz.Sanit.;Pizzeria";136
ristorante;gemelli;"VIA LAGHETTO N. 2 ;via laghetto 002; isolato:323; accesso: accesso esterno; (z.d. 1)";VIA;LAGHETTO;2;326;1;solo somministrazione;somministrazione;al tavolo;"Ristorante;Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria";70
ristorante;ghireria esperides/r.grec;"VIA LULLI GIOVANNI num.028/b /b; accesso: accesso esterno; (z.d. 3)";VIA;LULLI GIOVANNI;;2253;3;solo somministrazione;somministrazione;al tavolo;"Ristorante;BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.";110
ristorante;gio pegnas;"VIA SAVONA N. 17 ; isolato:035; accesso: accesso esterno; (z.d. 6)";VIA;SAVONA;17;5122;6;solo somministrazione;somministrazione;al tavolo;"Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria;BAR CAFFÿý E SIMILI;BAR CAFFÿý;Ristorante";136
ristorante;goha;"VIA STAZIO CECILIO N. 18 ; isolato:351; accesso: accesso esterno; (z.d. 2)";VIA;STAZIO CECILIO;18;2280;2;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;Ristorante;Pizzerie e simili;Pizzeria;Ristorante, trattoria, osteria";51
ristorante;golfo paradiso rist.pizze;"VIA CALVAIRATE N. 4 ; isolato:084; accesso: accesso esterno; (z.d. 4)";VIA;CALVAIRATE;4;3225;4;solo somministrazione;somministrazione;al tavolo;"Pizzerie e simili;Ristorante;Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria;Pizzeria";87
ristorante;gustibus srl.;"VIA LORENTEGGIO N. 269 ; isolato:502; accesso: accesso esterno; (z.d. 6)";VIA;LORENTEGGIO;269;5132;6;solo somministrazione;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;Ristorante;Ristorante, trattoria, osteria";136
ristorante;hana;"VIA CASATI FELICE N. 12 ; isolato:101; accesso: accesso esterno; (z.d. 3)";VIA;CASATI FELICE;12;2122;3;solo somministrazione;somministrazione;al tavolo;"Genere Merceol.Autorizz.Sanit.;Disco-piano-americ.bar serali;Ristorante";90
ristorante;harris caffe;"VLE COL DI LANA N. 4 ; isolato:096; accesso: accesso esterno; (z.d. 5)";VLE;COL DI LANA;4;5198;5;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;Giochi Legge 388/2000;Tavola calda;BAR CAFFÿý E SIMILI;Ristorante, trattoria, osteria;Wine,birr.,pub enot.,caff.,the;Disco-piano-americ.bar serali;Bar gastronomici e simili;BAR CAFFÿý";212
ristorante;himalaya;"VIA FRIULI N. 88 ; isolato:061; accesso: accesso esterno; (z.d. 4)";VIA;FRIULI;88;3199;4;solo somministrazione;somministrazione;al tavolo;"Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria;Pizzerie e simili;BAR CAFFÿý E SIMILI;Ristorante;Tavola calda;BAR CAFFÿý;BAR CAFFÿý E SIMILI;Pizzeria";100
ristorante;holiday inn;"VIA LORENTEGGIO num.278 interno hotel; accesso: accesso esterno; (z.d. 6)";VIA;BUSCHI AVERARDO;20;2575;3;solo somministrazione;somministrazione;al tavolo;"Genere Merceol.Autorizz.Sanit.;Ristorante;BAR CAFFÿý E SIMILI;Ristorante, trattoria, osteria";168
ristorante;hong kong;"VIA PONTE SEVESO N. 31 ; isolato:201; accesso: accesso esterno; (z.d. 2)";VIA;PONTE SEVESO;31;1203;2;solo somministrazione;somministrazione;al tavolo;"BAR CAFFÿý;Ristorante;Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.";157
ristorante;horse cafe restaurant bar;"VLE MONTE NERO N. 21 ; isolato:133; accesso: accesso esterno; (z.d. 1)";VLE;MONTE NERO;21;3062;1;solo somministrazione;somministrazione;misto;"BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.;Trattoria";94
ristorante;hostaria terza carbonaia;"VIA DEGLI SCIPIONI N. 3 ; isolato:115; accesso: accesso esterno; (z.d. 3)";VIA;DEGLI SCIPIONI;3;2174;3;solo somministrazione;somministrazione;al tavolo;"Ristorante;Biliardo;Pizzerie e simili;Ristorante, trattoria, osteria;Carte";253
ristorante;hotel cavour;"VIA FATEBENEFRATELLI N. 21 ;via fatebenefratelli 021; isolato:093; accesso: accesso esterno; (z.d. 1)";VIA;FATEBENEFRATELLI;21;144;1;solo somministrazione;somministrazione;al tavolo;"Cibi cotti preconfezionati;Tavola fredda;Ristorante;BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.";200
ristorante;hotel michelangelo;"VIA SCARLATTI DOMENICO N. 33 hotel michelangelo; isolato:039; accesso: accesso interno; (z.d. 2)";VIA;SCARLATTI DOMENICO;33;2136;2;solo somministrazione;somministrazione;al tavolo;Ristorante;178
ristorante;hotel principe di savoia;"PZA DELLA REPUBBLICA N. 17 ; isolato:334; accesso: accesso esterno; (z.d. 2)";PZA;DELLA REPUBBLICA;17;1055;2;solo somministrazione;somministrazione;misto;"Seconda bottiglia;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;BAR CAFFÿý E SIMILI;Ristorante;Ristorante, trattoria, osteria";2041
ristorante;hua nan;"VIA IMBONATI CARLO N. 12 ; isolato:089; accesso: accesso esterno; (z.d. 9)";VIA;IMBONATI CARLO;12;1311;9;;somministrazione;al tavolo;"Genere Merceol.Autorizz.Sanit.;Trattoria;BAR CAFFÿý;BAR CAFFÿý E SIMILI;Pizzerie e simili;Ristorante, trattoria, osteria";130
ristorante;ibis;"VIA FINOCCHIARO APRILE N. 2 (interno hotel); isolato:120; accesso: accesso interno; (z.d. 2)";VIA;FINOCCHIARO APRILE;2;2120;2;solo somministrazione;somministrazione;al tavolo;"Ristorante;BAR CAFFÿý";353
ristorante;il baretto al baglioni;"VIA SENATO N. 7 ;via senato 007; isolato:189; accesso: accesso esterno; (z.d. 1)";VIA;SENATO;7;236;1;solo somministrazione;somministrazione;misto;"Ristorante, trattoria, osteria;BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý E SIMILI;Ristorante";134
ristorante;il buttero;"VIA MARCO D'AGRATE N. 13 ; accesso: accesso esterno; (z.d. 5)";VIA;MARCO D'AGRATE;13;4276;5;solo somministrazione;somministrazione;misto;"Ristorante;Pizzeria;Ristorante, trattoria, osteria;Pizzerie e simili;Genere Merceol.Autorizz.Sanit.";162
ristorante;il calessino;"VIA THAON DI REVEL GENOVA N. 9 ; isolato:211; accesso: accesso esterno; (z.d. 9)";VIA;THAON DI REVEL GENOVA;9;1172;9;solo somministrazione;somministrazione;al tavolo;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý E SIMILI;Ristorante;Ristorante, trattoria, osteria";114
ristorante;il caminetto;"VIA PANTALEONI MAFFEO N. 10 ; isolato:083; accesso: accesso esterno; (z.d. 9)";VIA;PANTALEONI MAFFEO;10;1291;9;solo somministrazione;somministrazione;al tavolo;"Ristorante;BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.";94
ristorante;il giardino della birra;"VIA ORTICA N. 10 ; isolato:164; accesso: accesso esterno; (z.d. 3)";VIA;ORTICA;10;3242;3;solo somministrazione;somministrazione;al tavolo;"Ristorante;BAR CAFFÿý;Ristorante, trattoria, osteria;Wine,birr.,pub enot.,caff.,the;Genere Merceol.Autorizz.Sanit.";232
ristorante;il giardino di giada;"VIA LARGA N. 8 ;via larga 008; isolato:390; accesso: accesso esterno; (z.d. 1)";VIA;LARGA;8;318;1;solo somministrazione;somministrazione;al tavolo;"Ristorante;Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria";115
ristorante;il liberty;"VLE MONTE GRAPPA N. 6 ; isolato:329; accesso: accesso esterno; (z.d. 9)";VLE;MONTE GRAPPA;6;1101;9;solo somministrazione;somministrazione;al tavolo;"Ristorante;Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.";58
ristorante;il maggiolino;"VIA GIAMBELLINO N. 56 ; isolato:148; accesso: accesso esterno; (z.d. 6)";VIA;GIAMBELLINO;56;5136;6;;somministrazione;al tavolo;"BAR CAFFÿý E SIMILI;Pizzeria;Ristorante;Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý";261
ristorante;il molo;"VIA PONTE VECCHIO N. 6 ; isolato:182; accesso: accesso esterno; (z.d. 2)";VIA;PONTE VECCHIO;6;2487;2;solo somministrazione;somministrazione;al tavolo;"Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.;Ristorante";216
ristorante;il nuovo secolo;"VLE BEZZI ERGISTO N. 86 ; isolato:023; accesso: accesso esterno; (z.d. 7)";VLE;BEZZI ERGISTO;86;6272;7;solo somministrazione;somministrazione;al tavolo;"Ristorante;Pizzeria;BAR CAFFÿý;Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.";148
ristorante;il papiro rist.pizzeria;"VIA LICURGO N. 20 ingr.da v.f.lli bressan (disp); isolato:099; accesso: accesso esterno; (z.d. 2)";VIA;LICURGO;20;2351;2;solo somministrazione;somministrazione;al tavolo;"Ristorante;Pizzeria;Cibi cotti preconfezionati;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý E SIMILI;Pizzerie e simili;Ristorante, trattoria, osteria;BAR CAFFÿý";90
ristorante;il ponticello;"VIA ARGELATI FILIPPO N. 1 ; isolato:074; accesso: accesso esterno; (z.d. 6)";VIA;ARGELATI FILIPPO;1;5152;6;;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;Ristorante;Ristorante, trattoria, osteria";110
ristorante;il portico;"VIA GONZAGA MAURIZIO N. 4 ;via gonzaga maurizio 004; isolato:448; accesso: accesso esterno; (z.d. 1)";VIA;GONZAGA MAURIZIO;4;344;1;solo somministrazione;somministrazione;misto;"Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.;Pizzeria;BAR CAFFÿý;Tavola fredda;Ristorante";219
ristorante;il posto giusto;"VIA GALLARATE N. 122 ; isolato:212; accesso: accesso esterno; (z.d. 8)";VIA;GALLARATE;122;7420;8;solo somministrazione;somministrazione;self service;"Genere Merceol.Autorizz.Sanit.;Ristorante;Tav.calde,self service,fast f.";177
ristorante;il principe dei timeout;"VIA LOCATELLI ANTONIO N. 1 ; isolato:094; accesso: accesso esterno; (z.d. 2)";VIA;LOCATELLI ANTONIO;1;1191;2;solo somministrazione;somministrazione;al tavolo;"Genere Merceol.Autorizz.Sanit.;Ristorante;Pizzeria";60
ristorante;il rifugio del ghiottone;"VLE MONTE GRAPPA N. 2 ; isolato:329; accesso: accesso esterno; (z.d. 9)";VLE;MONTE GRAPPA;2;1101;9;solo somministrazione;somministrazione;al tavolo;"Pizzerie e simili;Pizzeria;Trattoria;Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.";76
ristorante;il sole;"VIA CURTATONE N. 5 ; isolato:037; accesso: accesso esterno; (z.d. 1)";VIA;CURTATONE;5;4034;1;solo somministrazione;somministrazione;al tavolo;"Genere Merceol.Autorizz.Sanit.;Ristorante";103
ristorante;il verdi;"PZA MIRABELLO CARLO N. 5 ; isolato:178; accesso: accesso esterno; (z.d. 1)";PZA;MIRABELLO CARLO;5;1038;1;solo somministrazione;somministrazione;al tavolo;"BAR CAFFÿý;Ristorante;Genere Merceol.Autorizz.Sanit.";111
ristorante;indian restaurant himalay;"VLE PASUBIO N. 12 ; isolato:313; accesso: accesso esterno; (z.d. 9)";VLE;PASUBIO;12;1112;9;solo somministrazione;somministrazione;al tavolo;"Ristorante, trattoria, osteria;Ristorante;Genere Merceol.Autorizz.Sanit.";46
ristorante;int.albergo leonardo vinc;"VIA SENIGALLIA N. 6 interno albergo; isolato:012; accesso: accesso interno; (z.d. 9)";VIA;SENIGALLIA;6;1708;9;solo somministrazione;somministrazione;al tavolo;"BAR CAFFÿý;BAR CAFFÿý E SIMILI;Ristorante;Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria";1002
ristorante;int.big hotel residence;"VIA DE CRISTOFORIS CARLO num.006/8 /8 c/o 'big residence'11ÿýpiano; accesso: accesso esterno; (z.d. 9)";VIA;DE CRISTOFORIS CARLO;;1120;9;solo somministrazione;somministrazione;self service;"Genere Merceol.Autorizz.Sanit.;Ristorante;Ristorante, trattoria, osteria";160
ristorante;int.rinascente 7^piano;"VIA SANTA RADEGONDA N. 3 interno la rinascente piano 7;pza del duomo 031; isolato:419; accesso: accesso interno; (z.d. 1)";VIA;SANTA RADEGONDA;3;208;1;solo somministrazione;somministrazione;misto;"Pizzerie e simili;Bar gastronomici e simili;Tavola calda;Cucina tipica lombarda;Ristorante;BAR CAFFÿý;Tavola fredda;Genere Merceol.Autorizz.Sanit.;Bar pasticc.gelat.crem.creper.;BAR CAFFÿý E SIMILI;Ristorante, trattoria, osteria;Tav.calde,self service,fast";550
ristorante;isola dei sapori;"VIA ANFOSSI AUGUSTO N. 10 ; isolato:056; accesso: accesso esterno; (z.d. 4)";VIA;ANFOSSI AUGUSTO;10;3071;4;solo somministrazione;somministrazione;al tavolo;"Trattoria;Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria";126
ristorante;istambul restaurant;"VIA VITRUVIO N. 30 ; isolato:041; accesso: accesso esterno; (z.d. 3)";VIA;VITRUVIO;30;2134;3;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;Trattoria;Pizzeria;Ristorante, trattoria, osteria";56
ristorante;i viola;"VIA MARCO D'AGRATE num.027 ; isolato:114; accesso: accesso esterno; (z.d. 5)";VIA;MARCO D'AGRATE;;4276;5;solo somministrazione;somministrazione;al tavolo;"Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.;Pizzeria;BAR CAFFÿý;Pizzerie e simili;BAR CAFFÿý E SIMILI;Ristorante";130
ristorante;just india;"VIA MARCELLO BENEDETTO N. 34 ; isolato:043; accesso: accesso esterno; (z.d. 3)";VIA;MARCELLO BENEDETTO;34;2128;3;solo somministrazione;somministrazione;al tavolo;"Ristorante;Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria";42
ristorante;kapuzimer platz;"VLE MONTE NERO N. 34 ; isolato:134; accesso: accesso esterno; (z.d. 4)";VLE;MONTE NERO;34;3062;4;solo somministrazione;somministrazione;al tavolo;"Pizzerie e simili;Ristorante, trattoria, osteria;BAR CAFFÿý E SIMILI";263
ristorante;kota radja;"PLE BARACCA FRANCESCO N. 6 ; isolato:070; accesso: accesso esterno; (z.d. 1)";PLE;BARACCA FRANCESCO;6;6180;1;solo somministrazione;somministrazione;al tavolo;"Ristorante, trattoria, osteria;Ristorante;Genere Merceol.Autorizz.Sanit.";156
